n=183, k=61, S=276, p=[2^41 3^10], Criterion 1
n=183, k=61, S=276, p=[2^40 3^12], Criterion 1
n=183, k=61, S=276, p=[2^39 3^14], Criterion 1
n=183, k=61, S=276, p=[2^38 3^16], Criterion 1
n=183, k=61, S=276, p=[2^37 3^18], Criterion 1
n=183, k=61, S=276, p=[2^36 3^20], Criterion 1
n=183, k=69, S=244, p=[2^61 4^2], Criterion 1
n=183, k=69, S=244, p=[2^60 3^2 4], Criterion 2
n=183, k=69, S=244, p=[2^60 3 4^3], Criterion 12
n=183, k=69, S=244, p=[2^60 4^4], Criterion 1
n=183, k=69, S=244, p=[2^59 3^2], Criterion 2
n=183, k=69, S=244, p=[2^59 3 4^5], Criterion 12
n=183, k=69, S=244, p=[2^59 4^6], Criterion 1
n=183, k=69, S=244, p=[2^58 3^5 4], Criterion 2
n=183, k=69, S=244, p=[2^58 3^4 4^3], Criterion 2
n=183, k=69, S=244, p=[2^58 3^2 4^6], Criterion 12
n=183, k=69, S=244, p=[2^58 3 4^7], Criterion 12
n=183, k=69, S=244, p=[2^58 4^8], Criterion 1
n=183, k=69, S=244, p=[2^57 3^2], Criterion 2
n=183, k=69, S=244, p=[2^57 3 4^9], Criterion 12
n=183, k=69, S=244, p=[2^57 4^10], Criterion 1
n=183, k=69, S=244, p=[2^56 3^8 4], Criterion 2
n=183, k=69, S=244, p=[2^55 3^2], Criterion 2
n=184, k=74, S=230, p=[2^69 5^2], Criterion 1
n=184, k=74, S=230, p=[2^68 4 5^3], Criterion 1
n=184, k=74, S=230, p=[2^68 5^4], Criterion 1
n=184, k=74, S=230, p=[2^67 5^6], Criterion 1
n=188, k=63, S=282, p=[2^47 3^2], Criterion 1
n=188, k=63, S=282, p=[2^46 3^4], Criterion 1
n=188, k=63, S=282, p=[2^45 3^6], Criterion 1
n=188, k=63, S=282, p=[2^44 3^8], Criterion 1
n=188, k=63, S=282, p=[2^43 3^10], Criterion 1
n=188, k=63, S=282, p=[2^42 3^12], Criterion 1
n=188, k=63, S=282, p=[2^41 3^14], Criterion 1
n=188, k=63, S=282, p=[2^40 3^16], Criterion 1
n=188, k=63, S=282, p=[2^39 3^18], Criterion 1
n=188, k=63, S=282, p=[2^38 3^20], Criterion 1
n=189, k=63, S=285, p=[2^46 3^3], Criterion 1
n=189, k=63, S=285, p=[2^45 3^5], Criterion 1
n=189, k=63, S=285, p=[2^44 3^7], Criterion 1
n=189, k=63, S=285, p=[2^43 3^9], Criterion 1
n=189, k=63, S=285, p=[2^42 3^11], Criterion 1
n=189, k=63, S=285, p=[2^41 3^13], Criterion 1
n=189, k=63, S=285, p=[2^40 3^15], Criterion 1
n=189, k=63, S=285, p=[2^39 3^17], Criterion 1
n=189, k=63, S=285, p=[2^38 3^19], Criterion 1
n=189, k=63, S=285, p=[2^37 3^21], Criterion 1
n=194, k=65, S=291, p=[2^48 3^3], Criterion 1
n=194, k=65, S=291, p=[2^47 3^5], Criterion 1
n=194, k=65, S=291, p=[2^46 3^7], Criterion 1
n=194, k=65, S=291, p=[2^45 3^9], Criterion 1
n=194, k=65, S=291, p=[2^44 3^11], Criterion 1
n=194, k=65, S=291, p=[2^43 3^13], Criterion 1
n=194, k=65, S=291, p=[2^42 3^15], Criterion 1
n=194, k=65, S=291, p=[2^41 3^17], Criterion 1
n=194, k=65, S=291, p=[2^40 3^19], Criterion 1
n=194, k=65, S=291, p=[2^39 3^21], Criterion 1
n=195, k=65, S=294, p=[2^48 3^2], Criterion 1
n=195, k=65, S=294, p=[2^47 3^4], Criterion 1
n=195, k=65, S=294, p=[2^46 3^6], Criterion 1
n=195, k=65, S=294, p=[2^45 3^8], Criterion 1
n=195, k=65, S=294, p=[2^44 3^10], Criterion 1
n=195, k=65, S=294, p=[2^43 3^12], Criterion 1
n=195, k=65, S=294, p=[2^42 3^14], Criterion 1
n=195, k=65, S=294, p=[2^41 3^16], Criterion 1
